area_id,map_level,map_name,map_id,map_source
ken_3_12,3,,y1cIpVUXwUj,DHIS2
ken_3_13,3,,Qa2LjBCOXby,DHIS2
ken_3_14,3,,kMQqsjpcUFH,DHIS2
ken_3_15,3,,sJ50zpy9iBV,DHIS2
ken_3_16,3,,af8ohZ5YbyQ,DHIS2
ken_3_17,3,,QDeZMYaTxpd,DHIS2
ken_3_18,3,,ZplKg3SMkIC,DHIS2
ken_3_19,3,,aLLewdAnspB,DHIS2
ken_3_20,3,,dckG5TO7hf8,DHIS2
ken_3_21,3,,Zrkf6cQj2AP,DHIS2
ken_3_22,3,,WlgJjiJVyHY,DHIS2
ken_3_23,3,,IqDql8D0FEF,DHIS2
ken_3_24,3,,eX9fqY9KVU8,DHIS2
ken_3_25,3,,Ekb0OY8S4Jm,DHIS2
ken_3_26,3,,g3PamYQCz5A,DHIS2
ken_3_27,3,,hp28cyo1lbf,DHIS2
ken_3_28,3,,fvjC0YNoiP4,DHIS2
ken_3_29,3,,cZkc98eBxNL,DHIS2
ken_3_30,3,,Fh0N1GDepVx,DHIS2
ken_3_31,3,,RSps1nz09HH,DHIS2
ken_3_32,3,,WwMThzLSS3I,DHIS2
ken_3_33,3,,Xj8EsCO27Jv,DHIS2
ken_3_34,3,,dFH6aZXT2rd,DHIS2
ken_3_35,3,,hfUlTD9PANt,DHIS2
ken_3_36,3,,bWhvWmGfQqn,DHIS2
ken_3_37,3,,Mdn0FWVc1MX,DHIS2
ken_3_38,3,,mr7zhcDiR5h,DHIS2
ken_3_39,3,,Mdegig3qDW9,DHIS2
ken_3_40,3,,cyChGO6tdNS,DHIS2
ken_3_41,3,,nQxxjPy6J5A,DHIS2
ken_3_42,3,,Amj9UOaw3tP,DHIS2
ken_3_43,3,,dFbf5rdQdI9,DHIS2
ken_3_44,3,,tDKdg7EyyCj,DHIS2
ken_3_45,3,,kBWwkKdW9Rh,DHIS2
ken_3_46,3,,PwpI3UVqNMb,DHIS2
ken_3_47,3,,VDvkL0vcV5e,DHIS2
ken_3_48,3,,vKo6mot8397,DHIS2
ken_3_49,3,,kqTPEb1RsMy,DHIS2
ken_3_50,3,,w0RAITw1HWe,DHIS2
ken_3_51,3,,xNnLSFClkz7,DHIS2
ken_3_52,3,,BBkS40b5WG7,DHIS2
ken_3_53,3,,XBMMn5fIwkJ,DHIS2
ken_3_54,3,,WnEb4RUZg21,DHIS2
ken_3_55,3,,EVc3FnW4kcm,DHIS2
ken_3_56,3,,cUX8GhsuLPn,DHIS2
ken_3_57,3,,Cqn7anNruE5,DHIS2
ken_3_58,3,,GzIJxIa88Fg,DHIS2
ken_3_59,3,,LSpZcRA9tgp,DHIS2
ken_3_60,3,,ZD3ThdrdoTN,DHIS2
ken_3_61,3,,cUBWuuQYISs,DHIS2
ken_3_62,3,,PXAviuGXJGl,DHIS2
ken_3_63,3,,P35Hsu3jEza,DHIS2
ken_3_64,3,,VGENlt3MTt7,DHIS2
ken_3_65,3,,XqcnCg0VZ7k,DHIS2
ken_3_66,3,,ZJdVAPAukav,DHIS2
ken_3_67,3,,A7a1GZJvTGD,DHIS2
ken_3_68,3,,Yk6G4ret1OC,DHIS2
ken_3_69,3,,yg2YesgFsrG,DHIS2
ken_3_70,3,,soqBddsWHf5,DHIS2
ken_3_71,3,,oFPmL4TCoWb,DHIS2
ken_3_72,3,,Qjd5eRv25sb,DHIS2
ken_3_73,3,,uRN4WDLAPSP,DHIS2
ken_3_74,3,,cWSGKfzRIhc,DHIS2
ken_3_75,3,,Ls8TbRfbKBs,DHIS2
ken_3_76,3,,f51CfBzKknF,DHIS2
ken_3_77,3,,qZ5JBQj1DxJ,DHIS2
ken_3_78,3,,H3V7py1sKHI,DHIS2
ken_3_79,3,,bSXsHJ4bnCw,DHIS2
ken_3_80,3,,NGRN2o3qN2r,DHIS2
ken_3_81,3,,vvsB9Kldjzy,DHIS2
ken_3_82,3,,TzCE8I4W14b,DHIS2
ken_3_83,3,,e0xkgk6TZEG,DHIS2
ken_3_84,3,,wZh1OhsZAK2,DHIS2
ken_3_85,3,,o6cVZ72goEk,DHIS2
ken_3_86,3,,jmeydKjWYw7,DHIS2
ken_3_87,3,,JVz0J1MJJ0V,DHIS2
ken_3_88,3,,go41UxgIdh5,DHIS2
ken_3_89,3,,jrWulcAQIzP,DHIS2
ken_3_90,3,,W1gE3uts9Qh,DHIS2
ken_3_91,3,,Xs7PwQOVMmb,DHIS2
ken_3_92,3,,UQYZGlkULva,DHIS2
ken_3_93,3,,P9SReXKzjbO,DHIS2
ken_3_94,3,,M8rGveWTIMm,DHIS2
ken_3_95,3,,FsRuO9llshq,DHIS2
ken_3_96,3,,rD8Z7AgYLaS,DHIS2
ken_3_97,3,,LWXYw2EpuLy,DHIS2
ken_3_98,3,,IZGBFhMdekx,DHIS2
ken_3_99,3,,UQd8QPTpVD0,DHIS2
ken_3_100,3,,w0ljXC7o4Rd,DHIS2
ken_3_101,3,,cYcOCBgwwwN,DHIS2
ken_3_102,3,,E8dTFNJYgtl,DHIS2
ken_3_103,3,,PeLH4hGTO17,DHIS2
ken_3_104,3,,GQFH01xLj74,DHIS2
ken_3_105,3,,Yh0tdzyDjHY,DHIS2
ken_3_106,3,,bSdHZBeB5bQ,DHIS2
ken_3_107,3,,ReDzOcQ8mT1,DHIS2
ken_3_108,3,,qyQg0b3mxEL,DHIS2
ken_3_109,3,,ZZrtQfVb4kP,DHIS2
ken_3_110,3,,JwFjLbUSxbO,DHIS2
ken_3_111,3,,clyAqa9XVNp,DHIS2
ken_3_112,3,,fRDUt04TIg5,DHIS2
ken_3_113,3,,KYyRxF09EOm,DHIS2
ken_3_114,3,,yTb02ghmk0V,DHIS2
ken_3_115,3,,RaSqiM3lgfo,DHIS2
ken_3_116,3,,rF4SKTlT0XH,DHIS2
ken_3_117,3,,PLayyGokkLa,DHIS2
ken_3_118,3,,uxxdF69wmFs,DHIS2
ken_3_119,3,,mi5ayQN77v7,DHIS2
ken_3_120,3,,Ksb8Prco66C,DHIS2
ken_3_121,3,,rthnyPewuyf,DHIS2
ken_3_122,3,,wfUbX2QagwS,DHIS2
ken_3_123,3,,fB16JFnw8Ex,DHIS2
ken_3_124,3,,hOymt7wmmCI,DHIS2
ken_3_125,3,,YnEUPEUnejZ,DHIS2
ken_3_126,3,,Kn2aiEXbw5B,DHIS2
ken_3_127,3,,ZJgywSuefy6,DHIS2
ken_3_128,3,,F0uYRw2XYg5,DHIS2
ken_3_129,3,,raVM522IGju,DHIS2
ken_3_130,3,,fpnhZCEZEGQ,DHIS2
ken_3_131,3,,OMFDcpMhxBr,DHIS2
ken_3_132,3,,YMBLUc2euxC,DHIS2
ken_3_133,3,,DSk12NKnyRR,DHIS2
ken_3_134,3,,CisxX3iXbp9,DHIS2
ken_3_135,3,,eCWu3IedbJm,DHIS2
ken_3_136,3,,v46jgbTAri7,DHIS2
ken_3_137,3,,LR8RoEpERGM,DHIS2
ken_3_138,3,,Y6KykEFTGUj,DHIS2
ken_3_139,3,,ncD8mIBXHRn,DHIS2
ken_3_140,3,,Z2yWQMpy2Ki,DHIS2
ken_3_141,3,,nResMsI1yRw,DHIS2
ken_3_142,3,,fKK4JksHULe,DHIS2
ken_3_143,3,,PoEBay5v6Vh,DHIS2
ken_3_144,3,,EhkLDtwfJnH,DHIS2
ken_3_145,3,,EitnMJgAT0z,DHIS2
ken_3_146,3,,sKD6tJgPfbh,DHIS2
ken_3_147,3,,WE5SA6SLnRY,DHIS2
ken_3_148,3,,cCF3yJfJOvA,DHIS2
ken_3_149,3,,fBMKIsnV2ZV,DHIS2
ken_3_150,3,,eVnnqyuwBfa,DHIS2
